step,balance,equity,position,reward
0,4999.011048749264,4996.247850123824,1,0.2
1,4999.011048749264,4998.7614580637155,1,-0.01
2,4999.011048749264,5003.656928041212,1,-0.02
3,4999.011048749264,5005.1497300338115,1,-0.03
4,4999.011048749264,5005.87266603411,1,-0.04
5,4999.011048749264,5008.368672042408,1,-0.05
6,4999.011048749264,5010.923754067004,1,-0.06
7,4999.011048749264,5010.412994132494,1,-0.07
8,4999.011048749264,5009.435632304365,1,-0.08
9,4999.011048749264,5007.774306754492,1,-0.09
10,4999.011048749264,5007.607691932999,1,-0.1
11,4999.011048749264,5011.369173018393,1,-0.11
12,4999.011048749264,5011.860231096069,1,-0.12
13,4999.011048749264,5013.661924243703,1,-0.13
14,4999.011048749264,5016.19594560893,1,-0.14
15,4999.011048749264,5018.316316556973,1,-0.15
16,4999.011048749264,5021.51340803588,1,-0.16
17,4999.011048749264,5027.714311524556,1,-0.17
18,4999.011048749264,5034.029930511676,1,-0.18
19,4999.011048749264,5036.025883984361,1,-0.19
20,4999.011048749264,5035.278125415296,1,-0.2
21,4999.011048749264,5035.148896235415,1,-0.21
22,4999.011048749264,5034.408967264839,1,-0.22
23,4999.011048749264,5034.448409532992,1,-0.23
24,4999.011048749264,5037.376665308024,1,-0.24
25,4999.011048749264,5037.56199036497,1,-0.25
26,4999.011048749264,5038.489709760775,1,-0.26
27,4999.011048749264,5039.887542891243,1,-0.27
28,4999.011048749264,5042.433322886846,1,-0.28
29,4999.011048749264,5042.642829743184,1,-0.29
30,4999.011048749264,5044.125570316595,1,-0.3
31,4999.011048749264,5046.2642851804885,1,-0.31
32,4999.011048749264,5046.787689198762,1,-0.32
33,4999.011048749264,5044.129186389684,1,-0.33
34,4999.011048749264,5037.4502739441805,1,-0.34
35,4999.011048749264,5035.982039416747,1,-0.35
36,4999.011048749264,5035.366248279949,1,-0.36
37,4999.011048749264,5029.747109396992,1,-0.37
38,4999.011048749264,5025.965483884913,1,-0.38
39,4999.011048749264,5020.789746231638,1,-0.39
40,4999.011048749264,5015.464158783888,1,-0.4
41,4999.011048749264,5014.623134093915,1,-0.41
42,4999.011048749264,5016.815647471746,1,-0.42
43,4999.011048749264,5017.714212295213,1,-0.43
44,4999.011048749264,5017.917393387781,1,-0.44
45,4999.011048749264,5018.158371842021,1,-0.45
46,4999.011048749264,5019.968126112168,1,-0.46
47,4999.011048749264,5020.826410468375,1,-0.47
48,4999.011048749264,5025.471509266843,1,-0.48
49,4999.011048749264,5035.018521306044,1,-0.49
50,4999.011048749264,5041.854458625178,1,-0.5
51,4999.011048749264,5046.455258543379,1,-0.51
52,4999.011048749264,5047.851720978849,1,-0.52
53,4999.011048749264,5048.550308367056,1,-0.53
54,4999.011048749264,5049.349608096207,1,-0.54
55,4999.011048749264,5051.818919895455,1,-0.55
56,4999.011048749264,5057.087555564046,1,-0.56
57,4999.011048749264,5062.804150770572,1,-0.57
58,4999.011048749264,5063.62530072156,1,-0.58
59,4999.011048749264,5064.472155367998,1,-0.59
60,4999.011048749264,5066.491569356323,1,-0.6
61,4999.011048749264,5067.002956674862,1,-0.61
62,4999.011048749264,5070.087704642151,1,-0.62
63,4999.011048749264,5078.750561225479,1,-0.63
64,4999.011048749264,5086.544383008177,1,-0.64
65,4999.011048749264,5088.81299177294,1,-0.65
66,4999.011048749264,5089.434996284534,1,-0.66
67,4999.011048749264,5087.402401054548,1,-0.67
68,4999.011048749264,5085.472610853001,1,-0.68
69,4999.011048749264,5084.175835478345,1,-0.69
70,4999.011048749264,5083.115299555924,1,-0.7
71,4999.011048749264,5083.620467163318,1,-0.71
72,4999.011048749264,5083.836505907917,1,-0.72
73,4999.011048749264,5085.619454534321,1,-0.73
74,4999.011048749264,5088.0022616689375,1,-0.74
75,4999.011048749264,5086.87773444638,1,-0.75
76,4999.011048749264,5086.2313456440925,1,-0.76
77,4999.011048749264,5085.1467064597855,1,-0.77
78,4999.011048749264,5083.2791777091525,1,-0.78
