step,balance,equity,position,reward
0,5000.0,5000.0,0,-0.01
1,5000.0,5000.0,0,-0.02
2,5000.0,5000.0,0,-0.03
3,5000.0,5000.0,0,-0.04
4,5000.0,5000.0,0,-0.05
5,5000.0,5000.0,0,-0.06
6,5000.0,5000.0,0,-0.07
7,5000.0,5000.0,0,-0.08
8,5000.0,5000.0,0,-0.09
9,5000.0,5000.0,0,-0.1
10,5000.0,5000.0,0,-0.11
11,5000.0,5000.0,0,-0.12
12,5000.0,5000.0,0,-0.13
13,5000.0,5000.0,0,-0.14
14,5000.0,5000.0,0,-0.15
15,5000.0,5000.0,0,-0.16
16,5000.0,5000.0,0,-0.17
17,5000.0,5000.0,0,-0.18
18,5000.0,5000.0,0,-0.19
19,5000.0,5000.0,0,-0.2
20,5000.0,5000.0,0,-0.21
21,5000.0,5000.0,0,-0.22
22,5000.0,5000.0,0,-0.23
23,5000.0,5000.0,0,-0.24
24,5000.0,5000.0,0,-0.25
25,5000.0,5000.0,0,-0.26
26,5000.0,5000.0,0,-0.27
27,5000.0,5000.0,0,-0.28
28,5000.0,5000.0,0,-0.29
29,5000.0,5000.0,0,-0.3
30,5000.0,5000.0,0,-0.31
31,5000.0,5000.0,0,-0.32
32,5000.0,5000.0,0,-0.33
33,5000.0,5000.0,0,-0.34
34,5000.0,5000.0,0,-0.35
35,5000.0,5000.0,0,-0.36
36,5000.0,5000.0,0,-0.37
37,5000.0,5000.0,0,-0.38
38,5000.0,5000.0,0,-0.39
39,5000.0,5000.0,0,-0.4
40,5000.0,5000.0,0,-0.41
41,5000.0,5000.0,0,-0.42
42,5000.0,5000.0,0,-0.43
43,5000.0,5000.0,0,-0.44
44,5000.0,5000.0,0,-0.45
45,5000.0,5000.0,0,-0.46
46,5000.0,5000.0,0,-0.47
47,5000.0,5000.0,0,-0.48
48,5000.0,5000.0,0,-0.49
49,5000.0,5000.0,0,-0.5
50,5000.0,5000.0,0,-0.51
51,5000.0,5000.0,0,-0.52
52,4999.986685853105,4999.950190726898,1,0.2
53,4999.986685853105,4999.811447139116,1,-0.01
54,4999.986685853105,4999.712272774605,1,-0.02
55,4999.986685853105,4999.670193268852,1,-0.03
56,4999.986685853105,4999.571029116105,1,-0.04
57,4999.986685853105,4999.474216163617,1,-0.05
58,4999.986685853105,4999.3745414589,1,-0.06
59,4999.986685853105,4999.322730297237,1,-0.07
60,4999.986685853105,4999.279371516965,1,-0.08
61,4999.986685853105,4999.267606337811,1,-0.09
62,4999.986685853105,4999.478369580624,1,-0.1
63,4999.986685853105,4999.617924488213,1,-0.11
